Name	CVP	Region	commencement date	Annual turn over	Domain
Dell	The company has built up a strong brand over time. It is well-established, being the first mass producer of mail-order computers. Also, its strong performance eventually led to its status as the top PC manufacturer in the world; while it no longer retains that position, it is the #1 shipper of PC monitors globally. Further, it is the second biggest non-oil company in Texas.	Texas	2015	130000000	Technology 
Facebook	Facebook has over a billion monthly users whose traffic drives their advertising revenue. These users value Facebook as a convenient platform on which to interact with friends and family. Increasingly, users also use Facebook as a source for news.	Massachusetts	2008	130000000	Technology 
Johnson & Johnson	Johnson & Johnson comprising the Company’s development and sale of pharmaceutical and healthcare products, covering five therapeutic areas – Immunology, Infectious Diseases and Vaccines, Neuroscience, Oncology, and Cardiovascular and Metabolic Diseases	New Jersey	2006	145000000	Pharmaceutical
Nestle	Our objective is to be the leader in Nutrition Health and Wellness, and the industry reference for financial performance, trusted by all stakeholders	Switzerland	2000	125000000	Food
Tata	Tata is the largest automobile industry and provide customer friendly products.	Mumbai	2002	130000000	Automobile
IBM	IBM has always been characterized by a powerful drive for innovation and development and these continue to make the larger part of its value propositions. The company actively engages in research in the fields of nanotechnology and mainframe and personal computers with recent years seeing it slowly expand into digital data management, cloud services and virtualization.	London	2001	250000000	Cloud Sevices
Intel 	The company has a well-established brand. It is known as the producer of the first microprocessor. Also, it gained a highly positive reputation due to the speed of its line of Pentium processors. It has been recognized for its prominence. For example, Interbrand ranked it at #14 in its list of “100 Best Global Brands” in 2014, as well as #15 on its list of “Best Global Green Brands” the same year.	California	2012	120000000	Technology 
Walmart	Its industry standing, with the Company established as one of the largest retail groups in the world, operating a number of successful retail chains both domestically and internationally;	Arkansas	2003	190000000	Retail Bussiness
Pay Pal	PayPal offers two primary value propositions: convenience and security. The company’s platform enables consumers and merchants to carry out simple digital and mobile payment transactions through a third party. At the same time, it offers a risk management system that prevents illegal, fraudulent, or high-risk transactions, giving customers a sense of confidence.	Mexico	2001	250000000	Online payments
Microsoft	This compatibility is a big draw for Microsoft, particularly within the business community where its operating system and suite of Office 360 products are widely considered the tools of choice. The Company is a trusted source of expertise and support for its consulting customers, while its advertising partners benefit from the Company’s large user base.	Mexico	2004	200000000	Technology 
Visa	The company is one of the earliest payment card providers, and thus is one of the most well-known. It connects consumers and merchants in more than 200 countries worldwide and conducts 150 million transactions per day. It has been consistently ranked as the most trusted card firm.	California	2013	200000000	Financial
Amazon	A company like Amazon has multiple value propositions, as it serves several target customers in different markets. With its mission “to be Earth’s most customer-centric company, where customers can find and discover anything they might want to buy online and endeavors to offer its customers the lowest possible prices,” Amazon value propositions range from “Easy to read on the go” for a device like Kindle, to “Sell better, sell more” to its marketplace.	Washington	2008	200000000	Consumer Services
